Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90,pos_group,league_clean
K. Aboh,21,English National League 25-26,"RAMF, LW",Boston United,England,0.195187165775401,0.4171122994652406,0.93048128342246,0.1497326203208556,0.7994652406417112,0.962566844919786,0.6363636363636364,0.8235294117647058,0.7486631016042781,0.5267379679144385,0.7727272727272727,0.3663101604278075,0.195187165775401,0.9893048128342246,0.893048128342246,0.2887700534759358,0.8128342245989305,0.1470588235294117,0.8636363636363636,0.4278074866310161,0.6978609625668449,0.4572192513368984,0.3181818181818182,0.2005347593582887,0.8368983957219251,0.5588235294117647,0.4973262032085561,0.5026737967914439,0.0641711229946524,0.5828877005347594,0.5026737967914439,0.6363636363636364,0.8368983957219251,0.5026737967914439,0.1443850267379679,0.5935828877005348,0.5026737967914439,0.9411764705882352,0.8021390374331551,0.4064171122994652,0.9732620320855616,0.4224598930481283,0.7540106951871658,0.2032085561497326,0.6550802139037433,0.1657754010695187,0.6818181818181818,Attacker,National League
S. Kamara,21,English National League 25-26,"CF, RAMF, LAMF",Braintree Town,England,0.1631016042780748,0.6256684491978609,0.4705882352941176,0.1443850267379679,0.5668449197860963,0.6042780748663101,0.5347593582887701,0.4839572192513369,0.2219251336898395,0.4598930481283422,0.3128342245989304,0.3663101604278075,0.5026737967914439,0.8796791443850267,0.4117647058823529,0.56951871657754,0.4224598930481283,0.1470588235294117,0.2780748663101604,0.572192513368984,0.4786096256684492,0.6417112299465241,0.6390374331550802,0.267379679144385,0.6390374331550802,0.2887700534759358,0.4973262032085561,0.5026737967914439,0.016042780748663,0.3903743315508021,0.5026737967914439,0.5347593582887701,0.6390374331550802,0.5026737967914439,0.427807486631016,0.5614973262032086,0.5026737967914439,0.5668449197860963,0.9331550802139036,0.6203208556149733,0.983957219251337,0.1550802139037433,0.4304812834224599,0.2352941176470588,0.9224598930481284,0.2459893048128342,0.6818181818181818,Attacker,National League
B. Njoku,21,English National League 25-26,"CF, LWF",Sutton United,England,0.7727272727272727,0.8021390374331551,0.213903743315508,0.7219251336898396,0.5989304812834224,0.3582887700534759,0.1443850267379679,0.6497326203208557,0.4786096256684492,0.56951871657754,0.3128342245989304,0.3663101604278075,0.1684491978609625,0.4064171122994652,0.1122994652406417,0.5775401069518716,0.3368983957219251,0.9518716577540108,0.5641711229946524,0.4385026737967914,0.4037433155080213,0.3502673796791444,0.3048128342245989,0.1711229946524064,0.7299465240641712,0.3850267379679144,0.4973262032085561,0.5026737967914439,0.6283422459893049,0.9411764705882352,0.5026737967914439,0.1443850267379679,0.7299465240641712,0.5026737967914439,0.4705882352941176,0.3155080213903743,0.5026737967914439,0.5882352941176471,0.5989304812834224,0.4331550802139037,0.5427807486631016,0.320855614973262,0.6657754010695187,0.5026737967914439,0.3235294117647059,0.8021390374331551,0.1310160427807486,Attacker,National League
H. Greenslade,21,English National League 25-26,"CF, LW, RWB",Yeovil Town,England,0.3128342245989304,0.1283422459893048,0.1711229946524064,0.5213903743315508,0.0828877005347593,0.2994652406417112,0.1657754010695187,0.0240641711229946,0.1764705882352941,0.1925133689839572,0.3128342245989304,0.8582887700534759,0.4090909090909091,0.4572192513368984,0.4919786096256685,0.5240641711229946,0.4759358288770053,0.7192513368983957,0.1497326203208556,0.53475935828877,0.0962566844919786,0.6417112299465241,0.4545454545454545,0.5187165775401069,0.5508021390374331,0.3181818181818182,0.4973262032085561,0.5026737967914439,0.4438502673796791,0.2245989304812834,0.5026737967914439,0.1657754010695187,0.5508021390374331,0.5026737967914439,0.1176470588235294,0.2914438502673797,0.5026737967914439,0.2219251336898395,0.1042780748663101,0.3368983957219251,0.2433155080213903,0.9572192513368984,0.8155080213903744,0.7486631016042781,0.9893048128342246,0.374331550802139,0.4598930481283422,Attacker,National League
O. Devonport,21,English National League 25-26,CF,Halifax Town,England,0.4839572192513369,0.8449197860962567,0.0748663101604278,0.3983957219251337,0.7379679144385026,0.1176470588235294,0.2352941176470588,0.3101604278074866,0.1149732620320855,0.56951871657754,0.3128342245989304,0.3663101604278075,0.2245989304812834,0.0695187165775401,0.4598930481283422,0.0748663101604278,0.0748663101604278,0.4304812834224599,0.1657754010695187,0.5561497326203209,0.8903743315508021,0.1470588235294117,0.0588235294117647,0.983957219251337,0.3048128342245989,0.3850267379679144,0.4973262032085561,0.5026737967914439,0.8796791443850267,0.93048128342246,0.5026737967914439,0.2352941176470588,0.3048128342245989,0.5026737967914439,0.5187165775401069,0.3636363636363636,0.5026737967914439,0.2834224598930481,0.5481283422459893,0.6657754010695187,0.6818181818181818,0.0721925133689839,0.1443850267379679,0.9786096256684492,0.2887700534759358,0.9251336898395722,0.0935828877005347,Attacker,National League
O. Lynch,21,English National League 25-26,CF,Tamworth,England,0.7005347593582888,0.93048128342246,0.1925133689839572,0.7058823529411765,0.7459893048128342,0.0909090909090909,0.2406417112299465,0.3101604278074866,0.2834224598930481,0.7165775401069518,0.3128342245989304,0.3663101604278075,0.1229946524064171,0.3957219251336898,0.1497326203208556,0.7112299465240641,0.4117647058823529,0.3716577540106952,0.2085561497326203,0.625668449197861,0.8903743315508021,0.427807486631016,0.7540106951871658,0.6417112299465241,0.2513368983957219,0.5240641711229946,0.4973262032085561,0.5026737967914439,0.53475935828877,0.5026737967914439,0.5026737967914439,0.2406417112299465,0.2513368983957219,0.5026737967914439,0.946524064171123,0.2032085561497326,0.5026737967914439,0.1016042780748663,0.427807486631016,0.141711229946524,0.2433155080213903,0.3155080213903743,0.3315508021390374,0.893048128342246,0.1657754010695187,0.9732620320855616,0.3128342245989304,Attacker,National League
C. Popov,21,English National League 25-26,CF,Morecambe,Wales,0.6764705882352942,0.5026737967914439,0.2299465240641711,0.6310160427807486,0.3101604278074866,0.2005347593582887,0.0427807486631016,0.0320855614973262,0.0160427807486631,0.6898395721925134,0.9438502673796793,0.3663101604278075,0.1310160427807486,0.4144385026737968,0.0481283422459893,0.0106951871657754,0.0160427807486631,0.1470588235294117,0.0160427807486631,0.3288770053475935,0.1256684491978609,0.1470588235294117,0.0106951871657754,0.4786096256684492,0.9893048128342246,0.8368983957219251,0.4973262032085561,0.5026737967914439,0.6149732620320856,0.679144385026738,0.5026737967914439,0.0427807486631016,0.9893048128342246,0.5026737967914439,0.1016042780748663,0.0695187165775401,0.5026737967914439,0.2887700534759358,0.5240641711229946,0.2272727272727272,0.2433155080213903,0.0160427807486631,0.1443850267379679,0.786096256684492,0.7486631016042781,0.4438502673796791,0.320855614973262,Attacker,National League
O. Hampson,21,English National League 25-26,"AMF, LAMF, CF",Boston United,England,0.0748663101604278,0.1711229946524064,0.9598930481283422,0.0721925133689839,0.374331550802139,0.1390374331550802,0.7700534759358288,0.7887700534759359,0.8716577540106952,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.6684491978609626,0.4572192513368984,0.5989304812834224,0.6149732620320856,1.0,0.7058823529411765,0.3850267379679144,0.0106951871657754,0.0,0.1470588235294117,0.5989304812834224,0.106951871657754,0.8957219251336899,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.4438502673796791,0.6096256684491979,0.5026737967914439,0.7700534759358288,0.8957219251336899,0.5026737967914439,0.6577540106951871,0.7165775401069518,0.5026737967914439,0.2727272727272727,0.3074866310160428,0.8449197860962567,0.2433155080213903,0.7647058823529411,0.1443850267379679,0.4171122994652406,0.4197860962566845,0.2352941176470588,0.5,Attacker,National League
R. Maher,21,English National League 25-26,"RW, LW, RAMF",Tamworth,Republic of Ireland,0.3128342245989304,0.1497326203208556,0.0855614973262032,0.2032085561497326,0.0828877005347593,0.3636363636363636,0.5080213903743316,0.5882352941176471,0.2834224598930481,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.893048128342246,0.5213903743315508,0.5614973262032086,0.2780748663101604,0.8235294117647058,0.6256684491978609,0.3235294117647059,0.5454545454545454,0.1764705882352941,0.1470588235294117,0.267379679144385,0.0668449197860962,0.5721925133689839,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.213903743315508,0.0160427807486631,0.5026737967914439,0.5080213903743316,0.5721925133689839,0.5026737967914439,0.893048128342246,0.3850267379679144,0.5026737967914439,0.0588235294117647,0.679144385026738,0.1818181818181818,0.2433155080213903,0.1925133689839572,0.6657754010695187,0.106951871657754,0.6978609625668449,0.0748663101604278,0.8609625668449198,Attacker,National League
K. Pennant,21,English National League 25-26,"CF, LAMF",Gateshead,England,0.3128342245989304,0.5080213903743316,0.0989304812834224,0.2727272727272727,0.7112299465240641,0.4732620320855615,0.160427807486631,0.606951871657754,0.7486631016042781,0.1925133689839572,0.927807486631016,0.3663101604278075,0.2459893048128342,0.1925133689839572,0.1283422459893048,0.1844919786096256,0.6524064171122995,0.4491978609625668,0.1657754010695187,0.2299465240641711,0.4786096256684492,0.1470588235294117,0.2085561497326203,0.2005347593582887,0.3796791443850267,0.481283422459893,0.4973262032085561,0.5026737967914439,0.2994652406417112,0.0909090909090909,0.5026737967914439,0.160427807486631,0.3796791443850267,0.5026737967914439,0.0588235294117647,0.2112299465240641,0.5026737967914439,0.320855614973262,0.374331550802139,0.7941176470588235,0.2433155080213903,0.839572192513369,0.4304812834224599,0.3475935828877005,0.0294117647058823,0.5721925133689839,0.7192513368983957,Attacker,National League
